,Comentario,Score
0,El servicio de recepción es muy bueno departe de la chica Isabel te atiende súper bien excelente servicio.Pero a las habitaciones les falta mucha limpieza. Tratar de mejorar ya que el hotel tiene buena ubicación.,5
1,"El recorrido que nos otorgó la señorita Ana Cruz , muy completo , amable , cordial , excelente servicio volveré a regresar y espero contar con la misma experiencia y conforme la habitación todo bien y la cama un gran descanso .",5
2,"Excelente atención y establecimiento, la atención por parte de la señorita Ana Cruz y del personal fue excelente muy recomendado, muy buen lugar para vacacionar ya que se encuentra en el centro de la ciudad",5
3,"Excelente servicio, muy atentos y agradable ambiente para negocios o plan familiar. Muy completa la atención de Estefany Garza! Recomendaría complemente la visita a este hotel, y gracias por su servicio.",5
4,"Una agradable experiencia ya que atendieron todas nuestras dudas, excelente servicio y agradable ambiente me encanto el servicio y atencion de Estefany Garza, y muy bonito la habitacion en la que nos hospedamos",5
5,"Fue una estancia muy agradable, con un excelente servicio, el personal muy atento siempre, y sobretodo la atención personalizada que nos brindo Estefany Garza, definitivamente es el lugar donde llego a Monterrey.",5
6,"Excelente servicio muy a gusto y agradable ambiente. muy amable el personal, pase una buena estadía, no tuve ninguna incomodidad ni una mala experiencia, y me encanta el servicio y atención de la señorita Estefany Garza",5
7,"Al llegar la atención por la señorita isabela fue muy buena, la habitación también estuvo bien aunque esperaba un poco más, me gustó que la ubicación del hotel fuera conveniente para mi, en general estuvo bueno el servicio",5
8,"Todo exelente, muy buen servicio y la atención perfecta por parte de la señorita Rosalba que nos brindó la atención y la información necesaria ., recomiendo ampliamente el lugar las almohadas muy cómodas y la cama muy cómoda. Gracias",5
9,"Durante la estancia todo genial, trato muy amable y excelente atención por parte de la señorita Rouss. Todo maravilloso, definitivamente un lugar donde siempre será bueno regresar a hospedarme, muy recomendable",5
10,Es muy cómodo y son muy atentos la señorita. Rosalba que fue quien me atendió fue muy atenta en todo momento y si me quedaron ganas de volver a visitar el lugar se los recomiendo pues si kieres descansar y recibir buen trato es el lugar indicado,5
11,"Realice un viaje en pareja a Monterrey, al momento de llegar al Hotel el personal muy amable, el joven Mario de recepción nos apoyo en todo lo que necesitamos al igual que proporcionándonos el contacto para poder tomar un tour a Cola de Caballo En definitiva si regreso.",5
12,"El hotel está muy cómodo y las habitaciones en buenas condiciones para descansar, tiene lo necesario y la ubicación muy buena. Eh ido en otras ocasiones con grupos y otras solo, siempre una buena atención por parte de Alejandro Saldaña para coordinar mis reservaciones.",5
13,"el hotel muy bueno, aunque a veces no tenian tuallas pero todo lo demas muy bien, aunque algunos recepcionistas eran amargados, pero la que nos trato bien a mi y a mis amigos con los que vine fue isa, que ella hacia todo lo posible para que estuvieran los clientes bien y si no habia tuallas ella iba y las buscaba y tanbien con las cobijas y se preocupa por los clientes y intenta ofrecerles un gran servicio, pero tambien muy bien el hotel aunque hay algunas cositas que fallan como el internet y ya.",5
14,"La habitación y las instalaciones están casi limpias, el hotel tiene una muy buena ubicación pero los elevadores no funcionan muy bien, el personal fue muy amable porque hasta muy tarde siguen atendiendo. Isa es muy amable con los clientes",4
